,dim,Time,Algorithm
0,5,4.358604431152344,FairDen
1,5,4.294378757476807,FairDen
2,5,4.297292232513428,FairDen
3,5,4.143070697784424,FairDen
4,5,4.183790683746338,FairDen
5,10,4.146022319793701,FairDen
6,10,4.158817529678345,FairDen
7,10,4.190221071243286,FairDen
8,10,4.135836124420166,FairDen
9,10,4.2202184200286865,FairDen
10,50,4.636335611343384,FairDen
11,50,4.658310413360596,FairDen
12,50,4.617194175720215,FairDen
13,50,4.661452770233154,FairDen
14,50,4.706188678741455,FairDen
15,100,5.056427955627441,FairDen
16,100,5.053479194641113,FairDen
17,100,5.1436216831207275,FairDen
18,100,5.041231393814087,FairDen
19,100,5.084903717041016,FairDen
