,k,Time,Algorithm
0,2,4.177509307861328,FairDen
1,2,4.148253917694092,FairDen
2,2,4.255831241607666,FairDen
3,2,4.163588047027588,FairDen
4,2,4.1751344203948975,FairDen
5,3,4.0266947746276855,FairDen
6,3,4.014354228973389,FairDen
7,3,4.082223653793335,FairDen
8,3,4.022262096405029,FairDen
9,3,4.036972999572754,FairDen
10,4,3.9886538982391357,FairDen
11,4,4.02190089225769,FairDen
12,4,4.017895936965942,FairDen
13,4,4.013492822647095,FairDen
14,4,3.9674153327941895,FairDen
15,5,8.089099645614624,FairDen
16,5,8.306327819824219,FairDen
17,5,8.167907476425171,FairDen
18,5,8.297223567962646,FairDen
19,5,8.209491968154907,FairDen
20,6,4.901108741760254,FairDen
21,6,4.8946123123168945,FairDen
22,6,4.857463598251343,FairDen
23,6,4.87232780456543,FairDen
24,6,4.883635759353638,FairDen
25,7,5.1259377002716064,FairDen
26,7,4.984407186508179,FairDen
27,7,5.060969114303589,FairDen
28,7,5.014594316482544,FairDen
29,7,4.987149477005005,FairDen
30,8,4.927724123001099,FairDen
31,8,4.97484564781189,FairDen
32,8,4.833557844161987,FairDen
33,8,4.944523811340332,FairDen
34,8,4.904692649841309,FairDen
35,9,4.920206546783447,FairDen
36,9,4.824556350708008,FairDen
37,9,4.8868279457092285,FairDen
38,9,4.9541566371917725,FairDen
39,9,4.9385809898376465,FairDen
