,k,Time,Algorithm,Dataset
0,2,4.360068082809448,FairDen,0
1,3,4.023608446121216,FairDen,0
2,4,4.006635665893555,FairDen,0
3,5,8.125897884368896,FairDen,0
4,6,4.734241724014282,FairDen,0
5,7,5.120345592498779,FairDen,0
6,8,4.813717842102051,FairDen,0
7,9,4.684184312820435,FairDen,0
8,2,4.193111181259155,FairDen,1
9,3,4.502121686935425,FairDen,1
10,4,4.569760084152222,FairDen,1
11,5,4.635035276412964,FairDen,1
12,6,4.804682731628418,FairDen,1
13,7,4.723619699478149,FairDen,1
14,8,4.312698841094971,FairDen,1
15,9,4.634572267532349,FairDen,1
16,2,4.129438638687134,FairDen,2
17,3,4.220241546630859,FairDen,2
18,4,4.214822053909302,FairDen,2
19,5,4.510074615478516,FairDen,2
20,6,4.769550323486328,FairDen,2
21,7,8.519229412078857,FairDen,2
22,8,10.13611888885498,FairDen,2
23,9,4.759988784790039,FairDen,2
24,2,4.337644815444946,FairDen,3
25,3,4.0771379470825195,FairDen,3
26,4,3.9616405963897705,FairDen,3
27,5,4.6106061935424805,FairDen,3
28,6,4.763715505599976,FairDen,3
29,7,5.491657495498657,FairDen,3
30,8,4.7992329597473145,FairDen,3
31,9,8.837534666061401,FairDen,3
32,2,4.323878049850464,FairDen,4
33,3,4.162808179855347,FairDen,4
34,4,4.109541177749634,FairDen,4
35,5,5.227872848510742,FairDen,4
36,6,5.416996240615845,FairDen,4
37,7,4.63347053527832,FairDen,4
38,8,4.532246112823486,FairDen,4
39,9,9.532322406768799,FairDen,4
