,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Cluster_-1
0,G&M&R,2,FairDEN_v1,4,0.497,0.49699999999999994,0.4966641957005189,994,6,"[0.994, 0]","[0.9939999999999999, 0]","[0.9933283914010378, 0]","{0: [0.994, 0.9972498747946191], 1: [0, 0.687]}","{0: [0.9940000000000001, 0.9939999999999999, 0.994, 0.9939999999999999, 0.9989597609101266], 1: [0, 0, 0, 0, 0.853]}","{0: [0.994, 0.9933283914010378, 0.994, 0.994, 0.9939999999999999, 0.9939999999999999], 1: [0, 0.475, 0, 0, 0, 0]}",
1,G&M&R,2,FairDEN_v2,4,0.497,0.49699999999999994,0.4966641957005189,994,6,"[0.994, 0]","[0.9939999999999999, 0]","[0.9933283914010378, 0]","{0: [0.994, 0.9972498747946191], 1: [0, 0.687]}","{0: [0.9940000000000001, 0.9939999999999999, 0.994, 0.9939999999999999, 0.9989597609101266], 1: [0, 0, 0, 0, 0.853]}","{0: [0.994, 0.9933283914010378, 0.994, 0.994, 0.9939999999999999, 0.9939999999999999], 1: [0, 0.475, 0, 0, 0, 0]}",
2,G&M&R,2,FairDEN_v1,5,0.497,0.49699999999999994,0.4966641957005189,994,6,"[0.994, 0]","[0.9939999999999999, 0]","[0.9933283914010378, 0]","{0: [0.994, 0.9972498747946191], 1: [0, 0.687]}","{0: [0.9940000000000001, 0.9939999999999999, 0.994, 0.9939999999999999, 0.9989597609101266], 1: [0, 0, 0, 0, 0.853]}","{0: [0.994, 0.9933283914010378, 0.994, 0.994, 0.9939999999999999, 0.9939999999999999], 1: [0, 0.475, 0, 0, 0, 0]}",
3,G&M&R,2,FairDEN_v2,5,0.497,0.49699999999999994,0.4966641957005189,994,6,"[0.994, 0]","[0.9939999999999999, 0]","[0.9933283914010378, 0]","{0: [0.994, 0.9972498747946191], 1: [0, 0.687]}","{0: [0.9940000000000001, 0.9939999999999999, 0.994, 0.9939999999999999, 0.9989597609101266], 1: [0, 0, 0, 0, 0.853]}","{0: [0.994, 0.9933283914010378, 0.994, 0.994, 0.9939999999999999, 0.9939999999999999], 1: [0, 0.475, 0, 0, 0, 0]}",
4,G&M&R,2,FairDEN_v1,10,0.8713418725819699,0.5803766491427159,0.7738718639546034,610,389,"[0.9057873038915694, 0.8368964412723704]","[0.7327327327327327, 0.4280205655526992]","[0.8419998946314735, 0.7057438332777332]","{0: [0.9057873038915694, 0.952542656406825], 1: [0.8368964412723704, 0.930735613662443]}","{0: [0.7327327327327327, 0.7815815815815816, 0.9113591203143443, 0.7850707850707851, 0.9726275686908336], 1: [0.4280205655526992, 0.5617769922879178, 0.8474807197943445, 0.570694087403599, 0.9588432362998837]}","{0: [0.8419998946314735, 0.8879539323511101, 0.9159159159159158, 0.9308818622544112, 0.8792792792792793, 0.9723872950819673], 1: [0.7057438332777332, 0.8505556247491732, 0.8560411311053985, 0.8835665694046074, 0.7847043701799485, 0.9584969584969586]}",1.0
5,G&M&R,2,FairDEN_v2,10,0.8377610207193793,0.6710437776427625,0.7450807510022748,605,394,"[0.8816490909514165, 0.7938729504873421]","[0.7786357786357787, 0.5634517766497461]","[0.7740185950413223, 0.7161429069632271]","{0: [0.8816490909514165, 0.9387514155603209], 1: [0.7938729504873421, 0.9140356572789005]}","{0: [0.9084084084084084, 0.9228275894942561, 0.877689283486385, 0.7786357786357787, 0.9767896636014435], 1: [0.8451776649746192, 0.8715894670050761, 0.7860152284263959, 0.5634517766497461, 0.9655862759311035]}","{0: [0.8439822801524929, 0.8743906266345852, 0.9907438016528926, 0.8884119969025628, 0.9084084084084083, 0.7740185950413223], 1: [0.7161429069632271, 0.8383091611791164, 0.985985985985986, 0.8071310819854081, 0.8451776649746193, 0.7423894482718012]}",1.0
6,G&M&R,2,FairDEN_v1,15,0.8910953366238042,0.6353992073468817,0.8001124913673363,655,344,"[0.9285982815394579, 0.8535923917081506]","[0.7867867867867868, 0.4840116279069767]","[0.8742075408742075, 0.7260174418604651]","{0: [0.9285982815394579, 0.9649166536843746], 1: [0.8535923917081506, 0.9373818262707151]}","{0: [0.7867867867867868, 0.806960806960807, 0.9106328550772996, 0.9834834834834835, 0.9774110310719277], 1: [0.4840116279069767, 0.5445130813953488, 0.8131395348837209, 0.9680232558139534, 0.9587626842528802]}","{0: [0.8764376621519477, 0.8784326988114793, 0.9834834834834835, 0.8943373197759162, 0.8742075408742075, 0.9055820610687023], 1: [0.7315595597372626, 0.8120359165135285, 0.9680232558139534, 0.7750411276452555, 0.7260174418604651, 0.8476168476168476]}",1.0
7,G&M&R,2,FairDEN_v2,15,0.8432181674726194,0.7210326123975149,0.7040653000771911,359,640,"[0.7912554397643436, 0.8951808951808952]","[0.6183844011142061, 0.8236808236808237]","[0.6764411470293823, 0.731689453125]","{0: [0.7912554397643436, 0.9130389648908167], 1: [0.8951808951808952, 0.9465743440233237]}","{0: [0.9275766016713092, 0.6956824512534819, 0.6956824512534819, 0.6183844011142061, 0.950851472590603], 1: [0.960960960960961, 0.8541875208541876, 0.8541875208541876, 0.8236808236808237, 0.9710057218309859]}","{0: [0.7647196410725298, 0.8111254111254111, 0.9275766016713092, 0.7337101093605854, 0.6956824512534819, 0.6764411470293823], 1: [0.8834097255149885, 0.869382911392405, 0.960960960960961, 0.8700403460228787, 0.8541875208541875, 0.731689453125]}",1.0
8,G&M&R,2,FairDEN_v1,9,0.893925101510336,0.6027777777777779,0.7902780722834795,629,370,"[0.9252303947139627, 0.8626198083067094]","[0.7555555555555556, 0.45]","[0.8591820987654321, 0.7213740458015269]","{0: [0.9252303947139627, 0.9631281083862117], 1: [0.8626198083067094, 0.9410150891632373]}","{0: [0.7555555555555556, 0.774928774928775, 0.9259259259259259, 0.8095238095238095, 0.9749378624689312], 1: [0.45, 0.50625, 0.864, 0.6000000000000001, 0.9591354272205336]}","{0: [0.8591820987654321, 0.89463886820551, 0.9444444444444445, 0.9280322977005441, 0.8717948717948718, 0.943014705882353], 1: [0.7213740458015269, 0.8480944712828772, 0.9, 0.8681672025723474, 0.75, 0.9116809116809116]}",1.0
9,G&M&R,2,FairDEN_v2,9,0.8426740576900321,0.7047619047619048,0.7208265250544662,629,370,"[0.8917378917378916, 0.7936102236421726]","[0.8095238095238095, 0.6000000000000001]","[0.7444852941176471, 0.6971677559912853]","{0: [0.8917378917378916, 0.9446064139941692], 1: [0.7936102236421726, 0.913935518252065]}","{0: [0.9444444444444444, 0.9158249158249159, 0.8744855967078189, 0.8095238095238095, 0.9768019884009942], 1: [0.9, 0.84375, 0.756, 0.6000000000000001, 0.9620596205962059]}","{0: [0.8503245513554791, 0.8745346239761727, 0.9529411764705883, 0.8860398860398859, 0.8717948717948718, 0.7444852941176471], 1: [0.700763358778626, 0.8242044861763171, 0.9259259259259258, 0.7813504823151126, 0.75, 0.6971677559912853]}",1.0
