,Setting,Algorithm,Balance_Education,Balance_Marriage,Balance_Sex
0,creditcard4,GroundTruth,0.724631515791011,0.8648165386825943,0.9729872281171713
1,creditcard4,GroundTruth_DB,0.19955477086052045,0.19578468243772745,0.8379352479819799
2,creditcard4,FairDEN_v1_min_pts_27_wo_cat,0.45638965521754765,0.7449611818688295,0.9876087914792604
3,creditcard4,FairDEN_v2_min_pts_27_wo_cat,0.45652155361241487,0.7421605724712487,0.9863145151408785
4,creditcard5,GroundTruth,0.6373948373777416,0.9467256791848555,0.9748896495682602
5,creditcard5,GroundTruth_DB,0.18222268717090348,0.19955603184323328,0.8234929659409419
6,creditcard5,FairDEN_v1_min_pts_27_wo_cat,0.5450823846283864,0.6389569623444051,0.9746761691214108
7,creditcard5,FairDEN_v2_min_pts_27_wo_cat,0.5424909906237705,0.6346959608990974,0.9706295301152853
8,creditcard6,GroundTruth,0.7785991959735341,0.845574566451126,0.9770323298510012
9,creditcard6,GroundTruth_DB,0.19955163766243633,0.19955163766243636,0.7512766100100005
10,creditcard6,FairDEN_v1_min_pts_27_wo_cat,0.5227064396973696,0.6279682382839319,0.9638910247563587
11,creditcard6,FairDEN_v2_min_pts_27_wo_cat,0.522586388435525,0.6278849795600696,0.9634878485446897
