,Unnamed: 0,Data,Algorithm,min_pts,DCSI,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,N_cluster
0,0,communities,GroundTruth,135.0,0.0741767715641166,0.5210409059230199,1.0,1.0,0.0,,-0.0284360378418682,0.007292932011822,2.0
1,1,communities,GroundTruth_DB,135.0,0.6510929926648031,0.7346153846153847,-0.0284360378418682,0.007292932011822,0.9799398194583752,,1.0,1.0,2.0
2,2,communities,FairDEN,,0.1532632591759354,0.9199441617261496,0.090928434958634,0.0513621762689248,0.0005015045135406,,-0.02260871370267,0.0190818472709926,2.0
3,3,communities,Scalable,,0.0816326128017277,0.7505168999022699,-0.0316947780729489,0.0418728002109289,0.0,,0.0154574116662473,0.0170358751435981,2.0
4,4,communities,FairSC_normalized,,0.1287119543187637,0.8572406724756171,0.0302776560814163,0.0024206175266384,0.0,,-0.0272850822442969,0.006573815605864,2.0
5,5,communities,FairSC,,0.1287119543187637,0.8233372327335595,0.0252357147968582,0.0017539642767339,0.0,,-0.0268416628244114,0.0063424846782221,2.0
0,0,bank3,GroundTruth,7.0,2.0623607533564808e-06,0.8588800057865307,1.0,1.0,0.0,,0.0059607030710052,0.0012630222119024,2.0
1,1,bank3,GroundTruth_DB,7.0,0.9856422394930904,0.7883183527205541,0.0059607030710052,0.0012630222119024,0.002,,1.0,1.0,2.0
2,2,bank3,FairDEN,,0.1357237205545455,0.9795400871576858,0.2055073473871536,0.0777794309148954,0.0,,0.021678347755626,0.0216046160876846,2.0
3,3,bank3,FairSC_normalized,,5.1354551039839365e-05,0.8752179478086022,-0.037046452997074,0.0340710389983847,0.0,,-0.0028084869160774,0.0041977380743469,2.0
4,4,bank3,FairSC,,0.0,0.4215,-0.0642861075842048,0.0151048924937741,0.0,,-0.0051211474149012,0.0023888777308573,2.0
0,0,diabetes,GroundTruth,15.0,0.0,0.961240477143796,1.0,1.0,0.0,,-0.0022648672323043,0.001661751137291,2.0
1,1,diabetes,GroundTruth_DB,15.0,0.8801812069091122,0.7174083269671505,-0.0022648672323043,0.001661751137291,0.9921984396879376,,1.0,1.0,4.0
2,2,diabetes,FairDEN,,0.0756946017396243,0.9593794973430564,0.0147745696361928,0.003409386446306,0.0002000400080016,,-0.0105495109213283,0.0069535702461769,2.0
3,3,diabetes,Scalable,,0.0086879663584349,0.9891524582112132,-0.0049915771597793,0.0016369249053407,0.0,,-0.0079675375080578,0.0089289761256844,2.0
4,4,diabetes,FairSC_normalized,,0.0,0.964915869297594,0.0063685555628028,0.0072600785426759,0.0,,-0.0012935512309006,0.0091852417109593,2.0
5,5,diabetes,FairSC,,0.0,0.8852548371804974,-0.0082475979175738,0.002557941250798,0.0,,-0.0099890480192756,0.0074155620893518,2.0
6,6,diabetes,FairDEN,,0.2399779844323846,0.9514779784069642,0.0053318379802804,0.0032840133995474,0.0002000400080016,,0.0024984209082354,0.0155449869863411,4.0
7,7,diabetes,Scalable,,0.0691066406632841,0.9641293664490066,-0.0017964350184755,0.0040664829175853,0.0,,-0.0011740062332124,0.0095866665169695,4.0
8,8,diabetes,FairSC_normalized,,0.1861678848784285,0.6129655171101146,-0.0005684136258801,0.0027602443871837,0.0,,-0.0018721763788517,0.0024109604431886,4.0
9,9,diabetes,FairSC,,0.0118049804642862,0.2285976836220218,-0.0136066821679276,0.0038377298290346,0.0,,-0.0049775713692935,0.0093104989981351,4.0
0,0,adult4,GroundTruth,11.0,2.6705556227051503e-06,0.663467600903439,1.0,1.0,0.0,,0.0015699158260601,0.0003100176434034,2.0
1,1,adult4,GroundTruth_DB,11.0,0.9675933209146912,0.7083333333333333,0.0015699158260601,0.0003100176434034,0.991,,1.0,1.0,2.0
2,2,adult4,FairDEN,,0.0435989135402168,0.8604721788196744,0.0464509264657385,0.013639189366204,0.0005,,-0.0088290040966984,0.0104646250977678,2.0
3,3,adult4,Scalable,,0.0072531589199042,0.9472404649441036,-0.0140630135388588,0.0169099253677986,0.0,,-0.0008750422061375,0.0080563401325187,2.0
4,4,adult4,FairSC_normalized,,3.6576969661268906e-06,0.4850946862423819,0.2737838049811024,0.1406647008816468,0.0,,-0.0120052073136466,0.0080989931617646,2.0
5,5,adult4,FairSC,,9.68253623267263e-06,0.4041496038138806,0.2278169480510123,0.1043050814097834,0.0,,-0.0130133780797904,0.0072347823329828,2.0
0,0,communities,Fairlet_MCF Fairlet,,0.0497401798807723,0.985801511895124,0.1559854019730154,0.0445171549846734,0.0,,0.002895127430941,0.0003750605476952,2.0
1,1,adult4,Fairlet_MCF Fairlet,,0.0,0.936693932165894,-0.0006197983785793,4.998454148330331e-05,0.0,,-0.0038976073864027,0.0006029276348127,2.0
2,2,diabetes,Fairlet_MCF Fairlet,,0.0,0.9676797151869396,8.184964275272525e-05,2.9834451173056373e-05,0.0,,-0.0007580548839757,0.0001047410055511,2.0
0,0,adult,GroundTruth,11.0,6.735424836022367e-06,0.5150765485892573,1.0,1.0,0.0,,0.0189690655913928,0.0218290070674984,2.0
1,1,adult,GroundTruth_DB,11.0,0.9920356605285472,0.4984977466199299,0.0189690655913928,0.0218290070674984,0.0015,,1.0,1.0,2.0
2,2,adult,FairDEN,,0.0879572943626198,0.8333906776737063,0.0527187988141567,0.015954883672921,0.0005,,0.0110827684228369,0.0223568440030654,2.0
3,3,adult,FairSC_normalized,,4.306727660807714e-05,0.31875,0.1636298993051081,0.095148844344705,0.0,,0.0056617261729173,0.0097345721668781,2.0
4,4,adult,FairSC,,0.0001251554489995,0.33625,-0.0292174477629826,0.0858883667001288,0.0,,-0.0045520827043079,0.0053920600425021,2.0
